time(s), average_n_photon(m^-3), average_n_exotic(m^-3)
0.445,1390246187316811.8,0.0000000000000000057138727375885755
0.446,1390246187316783.8,0.000000000000000005726684111427196
0.447,1390246187316781.3,0.000000000000000005739495485266788
0.448,1390246187316773.5,0.000000000000000005752306859121298
0.449,1390246187316770.8,0.000000000000000005765118232994064
0.45,1390246187316661.3,0.0000000000000000057779296068485735
0.451,1390246187316652,0.000000000000000005790740980688116
0.452,1390246187316649.5,0.000000000000000005803552354526635
0.453,1390246187316621.3,0.000000000000000005816363728377956
0.454,1390246187316618.8,0.000000000000000005829175102254349
0.455,1390246187316610.8,0.0000000000000000058419864760938775
0.456,1390246187316608.5,0.0000000000000000058547978499480186
0.457,1390246187316172.3,0.000000000000000005867609223783539
0.458,1390246187316169.8,0.0000000000000000058804205976375884
0.459,1390246187316162,0.0000000000000000058932319714769345
0.46,1390246187316159.5,0.00000000000000000590604334535405
0.461,1390246187316131.5,0.0000000000000000059188547192051054
0.462,1390246187316122,0.0000000000000000059316660930435
0.463,1390246187316119.5,0.000000000000000005944477466882834
0.464,1390246187316010,0.0000000000000000059572888407365736
0.465,1390246187316007.3,0.000000000000000005970100214611412
0.466,1390246187315999.5,0.000000000000000005982911588465151
0.467,1390246187315997,0.000000000000000005995722962304435
0.468,1390246187315968.5,0.000000000000000006008534336142738
0.46900000000000003,1390246187315966,0.0000000000000000060213457099934046
0.47000000000000003,1390246187315958.5,0.000000000000000006034157083871725
0.47100000000000003,1390246187315955.8,0.000000000000000006046968457710051
0.47200000000000003,1390246187314215.8,0.000000000000000006059779831560664
0.47300000000000003,1390246187314213,0.000000000000000006072591205398912
0.47400000000000003,1390246187314203.8,0.000000000000000006085402579238072
0.47500000000000003,1390246187314175.8,0.000000000000000006098213953091326
0.47600000000000003,1390246187314173.3,0.000000000000000006111025326967507
0.47700000000000004,1390246187314165.3,0.000000000000000006123836700820747
0.47800000000000004,1390246187314162.8,0.0000000000000000061366480746598536
0.47900000000000004,1390246187314053.5,0.0000000000000000061494594484980125
0.48,1390246187314050.3,0.000000000000000006162270822348254
0.481,1390246187314042.8,0.000000000000000006175082196227821
0.482,1390246187314040,0.00000000000000000618789357006693
0.483,1390246187314012,0.000000000000000006200704943919894
0.484,1390246187314009.3,0.0000000000000000062135163177552226
0.485,1390246187314001.8,0.000000000000000006226327691607995
0.486,1390246187313564.3,0.0000000000000000062391390654469394
0.487,1390246187313561.8,0.000000000000000006251950439327156
0.488,1390246187313554,0.000000000000000006264761813177158
0.489,1390246187313551.5,0.000000000000000006277573187015205
0.49,1390246187313523.3,0.0000000000000000062903845608541384
0.491,1390246187313520.8,0.000000000000000006303195934706691
0.492,1390246187313512.8,0.0000000000000000063160073085847205
0.493,1390246187313510.3,0.000000000000000006328818682437272
0.494,1390246187313400.5,0.000000000000000006341630056276163
0.495,1390246187313398,0.0000000000000000063544414301141264
0.496,1390246187313390.3,0.000000000000000006367252803963785
0.497,1390246187313360.5,0.00000000000000000638006417784485
