time(s),avg_energy(J/m^3),avg_photon(m^-3),avg_axion(m^-3),avg_neutrino(m^-3),avg_qgp_fraction,neutrino_mass_eV
0.000000000000000000013542000000000001,319999999999999900000000000000000000,100000000001365600000000000000000000000,100000039383799770000000000000000,99999959670990660000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000013664,319999999999999900000000000000000000,99999998157764960000000000000000000000,100000039735439280000000000000000,99999959310911600000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000013786,319999999999999900000000000000000000,100000000001391240000000000000000000000,100000040087081900000000000000000,99999958950829770000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000013908000000000002,319999999999999900000000000000000000,99999998157790680000000000000000000000,100000040438721400000000000000000,99999958590750700000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000014030000000000002,319999999999999900000000000000000000,100000000001415250000000000000000000000,100000040790364010000000000000000,99999958230668880000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000014152000000000002,319999999999999900000000000000000000,99999998157814640000000000000000000000,100000041142003520000000000000000,99999957870589820000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000014274000000000002,319999999999999900000000000000000000,100000000001440940000000000000000000000,100000041493646130000000000000000,99999957510508000000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000014396000000000002,319999999999999900000000000000000000,99999998157840300000000000000000000000,100000041845285640000000000000000,99999957150428930000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000014518000000000003,319999999999999900000000000000000000,100000000001463460000000000000000000000,100000042196928240000000000000000,99999956790347100000000000000000000,0.9999998874648379,0.785877208489073
0.00000000000000000001464,319999999999999900000000000000000000,99999998157866000000000000000000000000,100000042548567750000000000000000,99999956430268040000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000014762,319999999999999900000000000000000000,100000000001489130000000000000000000000,100000042900210360000000000000000,99999956070186210000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000014884,319999999999999900000000000000000000,99999998157889970000000000000000000000,100000043251849870000000000000000,99999955710107150000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000015006,319999999999999900000000000000000000,100000000001513100000000000000000000000,100000043603492480000000000000000,99999955350025330000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000015128,319999999999999900000000000000000000,99999998157915620000000000000000000000,100000043955131990000000000000000,99999954989946260000000000000000000,0.9999998874648379,0.785877208489073
0.00000000000000000001525,319999999999999900000000000000000000,100000000001538800000000000000000000000,100000044306774600000000000000000,99999954629864440000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000015372,319999999999999900000000000000000000,99999998157937150000000000000000000000,100000044658414100000000000000000,99999954269785380000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000015494,319999999999999900000000000000000000,100000000001560290000000000000000000000,100000045010056720000000000000000,99999953909703550000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000015616,319999999999999900000000000000000000,99999998157962820000000000000000000000,100000045361696230000000000000000,99999953549624490000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000015738,319999999999999900000000000000000000,100000000001585960000000000000000000000,100000045713338830000000000000000,99999953189542660000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000015860000000000002,319999999999999900000000000000000000,99999998157987040000000000000000000000,100000046064978340000000000000000,99999952829463600000000000000000000,0.9999998874648379,0.785877208489073
0.000000000000000000015982000000000002,319999999999999900000000000000000000,100000000001610170000000000000000000000,100000046416620950000000000000000,99999952469381770000000000000000000,0.9999998874648379,0.785877208489073
