time(s),avg_energy(J/m^3),avg_photon(m^-3)
41.7,95905.9569137091,10000000000
41.800000000000004,95896.36631799738,10000000000
41.900000000000006,95886.77668138943,10000000000
42,95877.18800370034,10000000000
42.1,95867.60028492557,10000000000
42.2,95858.01352488932,10000000000
42.300000000000004,95848.42772352746,10000000000
42.400000000000006,95838.84288075734,10000000000
42.5,95829.25899647882,10000000000
42.6,95819.67607057096,10000000000
42.7,95810.0941029761,10000000000
42.800000000000004,95800.51309355878,10000000000
42.900000000000006,95790.93304225394,10000000000
43,95781.35394894866,10000000000
43.1,95771.77581354773,10000000000
43.2,95762.19863594619,10000000000
43.300000000000004,95752.62241610535,10000000000
43.400000000000006,95743.04715384095,10000000000
43.5,95733.47284913312,10000000000
43.6,95723.89950184227,10000000000
43.7,95714.32711191966,10000000000
43.800000000000004,95704.75567920863,10000000000
43.900000000000006,95695.18520363764,10000000000
44,95685.61568510548,10000000000
44.1,95676.04712354924,10000000000
44.2,95666.47951881285,10000000000
44.300000000000004,95656.91287088198,10000000000
44.400000000000006,95647.34717957374,10000000000
44.5,95637.78244486672,10000000000
44.6,95628.21866663346,10000000000
44.7,95618.65584476826,10000000000
44.800000000000004,95609.0939791616,10000000000
44.900000000000006,95599.53306976918,10000000000
45,95589.9731164778,10000000000
45.1,95580.41411915631,10000000000
45.2,95570.85607775628,10000000000
45.300000000000004,95561.298992149,10000000000
45.400000000000006,95551.74286223245,10000000000
45.5,95542.18768795964,10000000000
45.6,95532.63346919056,10000000000
45.7,95523.08020583168,10000000000
45.800000000000004,95513.52789782679,10000000000
45.900000000000006,95503.97654501614,10000000000
46,95494.42614737319,10000000000
46.1,95484.8767047708,10000000000
46.2,95475.32821707142,10000000000
46.300000000000004,95465.78068426462,10000000000
46.400000000000006,95456.23410619092,10000000000
46.5,95446.68848277137,10000000000
46.6,95437.14381395726,10000000000
46.7,95427.60009956297,10000000000
46.800000000000004,95418.05733954902,10000000000
46.900000000000006,95408.5155338069,10000000000
47,95398.97468225168,10000000000
47.1,95389.43478477854,10000000000
47.2,95379.89584132074,10000000000
47.300000000000004,95370.35785174108,10000000000
47.400000000000006,95360.8208159307,10000000000
47.5,95351.28473388102,10000000000
47.6,95341.74960540688,10000000000
47.7,95332.21543041877,10000000000
47.800000000000004,95322.68220889359,10000000000
47.900000000000006,95313.14994065139,10000000000
48,95303.61862567236,10000000000
48.1,95294.08826379201,10000000000
48.2,95284.55885497166,10000000000
48.300000000000004,95275.0303990866,10000000000
48.400000000000006,95265.50289606789,10000000000
48.5,95255.97634577539,10000000000
48.6,95246.45074812538,10000000000
48.7,95236.92610307322,10000000000
48.800000000000004,95227.40241042999,10000000000
48.900000000000006,95217.8796702205,10000000000
49,95208.35788225273,10000000000
49.1,95198.83704646265,10000000000
49.2,95189.31716275153,10000000000
49.300000000000004,95179.79823101565,10000000000
49.400000000000006,95170.28025122268,10000000000
49.5,95160.76322317336,10000000000
49.6,95151.24714684748,10000000000
49.7,95141.73202215771,10000000000
49.800000000000004,95132.21784893642,10000000000
49.900000000000006,95122.7046271563,10000000000
50,95113.19235670354,10000000000
50.1,95103.6810374577,10000000000
50.2,95094.1706693508,10000000000
50.300000000000004,95084.6612522707,10000000000
