time(s),avg_energy(J/m^3),avg_photon(m^-3),avg_axion(m^-3),avg_neutrino(m^-3),avg_qgp_fraction
224,8996462.293642288,10000000000,0.009999997749994487,0.8600000000003262,1
225,8992239.738959244,10000000000,0.009999997740004807,0.8600000000003262,1
226,8988019.209749375,10000000000,0.009999997730004236,0.8600000000003262,1
227,8983800.705025632,10000000000,0.009999997720001293,0.8600000000003262,1
228,8979584.22380737,10000000000,0.009999997709997354,0.8600000000003262,1
229,8975369.765075278,10000000000,0.009999997699997569,0.8600000000003262,1
230,8971157.327852378,10000000000,0.009999997689994471,0.8600000000003262,1
231,8966946.911161704,10000000000,0.009999997680004159,0.8600000000003262,1
232,8962738.513998903,10000000000,0.00999999767000106,0.8600000000003262,1
233,8958532.135369042,10000000000,0.009999997660001276,0.8600000000003262,1
234,8954327.774291959,10000000000,0.009999997650000281,0.8600000000003262,1
235,8950125.429779062,10000000000,0.00999999763999734,0.8600000000003262,1
236,8945925.100838328,10000000000,0.009999997629996767,0.8600000000003262,1
237,8941726.786497267,10000000000,0.009999997620007089,0.8600000000003262,1
238,8937530.485747775,10000000000,0.009999997610003988,0.8600000000003262,1
239,8933336.19760795,10000000000,0.009999997600003571,0.8600000000003262,1
240,8929143.921105433,10000000000,0.009999997590000474,0.8600000000003262,1
241,8924953.65524128,10000000000,0.009999997579997323,0.8600000000003262,1
242,8920765.399025936,10000000000,0.00999999756999675,0.8600000000003262,1
243,8916579.151491433,10000000000,0.009999997559993807,0.8600000000003262,1
244,8912394.911651507,10000000000,0.009999997550003342,0.8600000000003262,1
245,8908212.678505514,10000000000,0.009999997540003556,0.8600000000003262,1
246,8904032.451087276,10000000000,0.009999997530000455,0.8600000000003262,1
247,8899854.22841545,10000000000,0.00999999751999962,0.8600000000003262,1
248,8895678.009489328,10000000000,0.009999997509996519,0.8600000000003262,1
249,8891503.793336632,10000000000,0.009999997499996737,0.8600000000003262,1
250,8887331.578981651,10000000000,0.009999997490006268,0.8600000000003262,1
251,8883161.36544797,10000000000,0.009999997480003327,0.8600000000003262,1
252,8878993.151739987,10000000000,0.009999997470002754,0.8600000000003262,1
253,8874826.93688965,10000000000,0.009999997459999604,0.8600000000003262,1
254,8870662.719910188,10000000000,0.009999997449996504,0.8600000000003262,1
255,8866500.499825647,10000000000,0.00999999743999609,0.8600000000003262,1
256,8862340.275665825,10000000000,0.00999999742999299,0.8600000000003262,1
257,8858182.046447616,10000000000,0.00999999742000331,0.8600000000003262,1
258,8854025.811187608,10000000000,0.009999997410002737,0.8600000000003262,1
259,8849871.568909233,10000000000,0.009999997399999794,0.8600000000003262,1
260,8845719.318642782,10000000000,0.0099999973899988,0.8600000000003262,1
261,8841569.059417835,10000000000,0.009999997379999017,0.8600000000003262,1
262,8837420.79025103,10000000000,0.009999997369995918,0.8600000000003262,1
263,8833274.510162352,10000000000,0.009999997360005607,0.8600000000003262,1
264,8829130.218191894,10000000000,0.009999997350002506,0.8600000000003262,1
265,8824987.913351797,10000000000,0.009999997340002724,0.8600000000003262,1
266,8820847.594665967,10000000000,0.009999997329998784,0.8600000000003262,1
267,8816709.261176584,10000000000,0.009999997319995842,0.8600000000003262,1
268,8812572.911904557,10000000000,0.009999997309995267,0.8600000000003262,1
269,8808438.545890162,10000000000,0.009999997300005592,0.8600000000003262,1
270,8804306.162139375,10000000000,0.00999999729000249,0.8600000000003262,1
271,8800175.759695893,10000000000,0.009999997280002075,0.8600000000003262,1
272,8796047.337583242,10000000000,0.009999997269998975,0.8600000000003262,1
273,8791920.894829772,10000000000,0.009999997259998769,0.8600000000003262,1
274,8787796.430474224,10000000000,0.009999997249998198,0.8600000000003262,1
275,8783673.94354237,10000000000,0.009999997239995255,0.8600000000003262,1
276,8779553.433068283,10000000000,0.009999997230004788,0.8600000000003262,1
277,8775434.898078058,10000000000,0.009999997220005004,0.8600000000003262,1
278,8771318.337615931,10000000000,0.009999997210001905,0.8600000000003262,1
279,8767203.75070232,10000000000,0.009999997199998122,0.8600000000003262,1
280,8763091.136382535,10000000000,0.009999997189995022,0.8600000000003262,1
281,8758980.493681068,10000000000,0.00999999717999524,0.8600000000003262,1
282,8754871.821626844,10000000000,0.00999999717000477,0.8600000000003262,1
283,8750765.11927112,10000000000,0.00999999716000183,0.8600000000003262,1
284,8746660.385648856,10000000000,0.009999997150001255,0.8600000000003262,1
285,8742557.619780941,10000000000,0.009999997140001101,0.8600000000003262,1
286,8738456.8207092,10000000000,0.009999997129998162,0.8600000000003262,1
287,8734357.987479342,10000000000,0.009999997119997587,0.8600000000003262,1
288,8730261.119110662,10000000000,0.009999997110007909,0.8600000000003262,1
289,8726166.214661088,10000000000,0.009999997100004808,0.8600000000003262,1
290,8722073.273162704,10000000000,0.009999997090004395,0.8600000000003262,1
291,8717982.29364226,10000000000,0.009999997080001294,0.8600000000003262,1
292,8713893.275154954,10000000000,0.009999997069998143,0.8600000000003262,1
293,8709806.216736283,10000000000,0.009999997059997571,0.8600000000003262,1
294,8705721.117429411,10000000000,0.009999997049994628,0.8600000000003262,1
295,8701637.976257326,10000000000,0.009999997040004161,0.8600000000003262,1
296,8697556.792275324,10000000000,0.009999997030004378,0.8600000000003262,1
297,8693477.564536171,10000000000,0.009999997020001278,0.8600000000003262,1
298,8689400.292053755,10000000000,0.009999997010000441,0.8600000000003262,1
299,8685324.973900214,10000000000,0.00999999699999734,0.8600000000003262,1
300,8681251.609098244,10000000000,0.009999996989997557,0.8600000000003262,1
301,8677180.19669261,10000000000,0.009999996980007088,0.8600000000003262,1
302,8673110.735741548,10000000000,0.009999996970004149,0.8600000000003262,1
303,8669043.225279048,10000000000,0.009999996960003574,0.8600000000003262,1
304,8664977.664344408,10000000000,0.009999996950000424,0.8600000000003262,1
305,8660914.052001532,10000000000,0.009999996939997324,0.8600000000003262,1
